YEAR,enso_djf_lag,enso_mam_signal,enso_tendency,iod_mam_lag,enso_iod_interaction
1901,0.57,-0.09,-0.66,-0.5953,0.0536
1902,-0.37,0.1333,0.5033,-0.0807,-0.0108
1903,1.2167,0.35,-0.8667,-0.42,-0.147
1904,-0.8467,-0.6567,0.19,-0.1687,0.1108
1905,0.7533,0.7633,0.01,-0.3817,-0.2913
1906,0.91,0.4233,-0.4867,-0.5743,-0.2431
1907,-0.4967,-0.4867,0.01,-0.2423,0.1179
1908,-0.0967,-0.5433,-0.4467,-0.4233,0.23
1909,-0.7733,-0.5267,0.2467,-0.6013,0.3167
1910,-0.8833,-1.12,-0.2367,-0.4713,0.5279
1911,-0.5967,-0.9933,-0.3967,-0.638,0.6337
1912,1.1133,0.4233,-0.69,-0.1233,-0.0522
1913,-0.17,-0.2967,-0.1267,-0.196,0.0581
1914,0.7833,0.34,-0.4433,-0.2323,-0.079
1915,0.7367,0.4933,-0.2433,-0.3923,-0.1936
1916,-0.32,-0.4667,-0.1467,0.0137,-0.0064
1917,-1.4667,-0.41,1.0567,-0.2453,0.1006
1918,-0.7933,-0.5633,0.23,-0.2023,0.114
1919,1.38,0.74,-0.64,-0.3587,-0.2654
1920,0.5267,0.0533,-0.4733,0.156,0.0083
1921,-0.0333,-0.9633,-0.93,-0.104,0.1002
1922,-0.37,-0.08,0.29,-0.229,0.0183
1923,-0.5667,-0.55,0.0167,-0.2773,0.1525
1924,0.7033,-0.16,-0.8633,-0.37,0.0592
1925,-0.72,-0.4833,0.2367,0.144,-0.0696
1926,1.47,1.01,-0.46,-0.124,-0.1252
1927,0.0333,-0.3467,-0.38,-0.2853,0.0989
1928,0.31,-0.1667,-0.4767,-0.286,0.0477
1929,-0.0867,-0.1567,-0.07,-0.2737,0.0429
1930,0.4567,0.22,-0.2367,-0.3363,-0.074
1931,1.41,0.9233,-0.4867,-0.4433,-0.4093
1932,-0.2967,0.26,0.5567,-0.314,-0.0816
1933,-0.2367,-0.1967,0.04,-0.0427,0.0084
1934,-1.0067,-0.6167,0.39,-0.1667,0.1028
