feature,importance
rolling_5yr_annual,0.05689312984229056
enso_tendency,0.05089235679085263
rolling_3yr_annual,0.0507403592977722
SUBDIVISION_Saurashtra & Kutch,0.049981663906175346
prev_annual,0.0457510013521352
prev_jf,0.04452196573615063
prev_jul,0.042721068421165735
rolling_3yr_jjas,0.041696625210545166
rolling_5yr_jjas,0.04163538747316182
prev_jun,0.03738312452813195
monsoon_concentration,0.03666981925841621
prev_year_jjas,0.03655891295473131
iod_mam_lag,0.03603191637336631
prev_ond,0.0353822116416545
cv_5yr_jjas,0.03499251771786108
prev_annual_change,0.034778435578856355
prev_mam,0.034420015624188435
prev_aug,0.032527619220514614
enso_djf_lag,0.03237890528934629
prev_sep,0.030639361762699324
jjas_to_annual_ratio,0.029693486568498042
prev_premonsoon_signal,0.029370171160684848
enso_mam_signal,0.029165676519245936
enso_iod_interaction,0.028425352855881218
SUBDIVISION_Himachal Pradesh,0.014789477756819365
SUBDIVISION_Arunachal Pradesh,0.009817637904541184
SUBDIVISION_Haryana Delhi & Chandigarh,0.00750279520948317
SUBDIVISION_Naga Mani Mizo Tripura,0.004191904685693606
SUBDIVISION_Matathwada,0.00368727033842205
SUBDIVISION_East Uttar Pradesh,0.003376278668738711
SUBDIVISION_West Rajasthan,0.003341583927789818
SUBDIVISION_Jammu & Kashmir,0.003156105718253389
SUBDIVISION_Gangetic West Bengal,0.0030196277544482365
SUBDIVISION_Punjab,0.0022894330646924467
SUBDIVISION_Gujarat Region,0.0020225354417803495
SUBDIVISION_Assam & Meghalaya,0.0015747041750816735
SUBDIVISION_East Rajasthan,0.0014720594218675823
SUBDIVISION_West Uttar Pradesh,0.0012861413735670486
SUBDIVISION_Telangana,0.0011097772192730448
SUBDIVISION_Rayalseema,0.0010829539397742016
SUBDIVISION_Jharkhand,0.0010208977196375765
SUBDIVISION_Madhya Maharashtra,0.0009987962259159129
SUBDIVISION_Vidarbha,0.0009907832476901146
SUBDIVISION_South Interior Karnataka,0.0009779823521185356
SUBDIVISION_North Interior Karnataka,0.0009603165085115506
SUBDIVISION_Orissa,0.0008423505556863817
SUBDIVISION_West Madhya Pradesh,0.0007941168862834509
SUBDIVISION_Uttarakhand,0.0007840353557771377
SUBDIVISION_Coastal Karnataka,0.0007447603247152255
SUBDIVISION_Coastal Andhra Pradesh,0.000714975688981891
SUBDIVISION_Bihar,0.000672671389343327
SUBDIVISION_East Madhya Pradesh,0.0006559056592434256
SUBDIVISION_Tamil Nadu,0.0005373218894780006
SUBDIVISION_Kerala,0.0005338609331189766
SUBDIVISION_Sub Himalayan West Bengal & Sikkim,0.0004732808937031861
SUBDIVISION_Chhattisgarh,0.0003786127443790291
SUBDIVISION_Lakshadweep,0.0003665824181682762
SUBDIVISION_Konkan & Goa,0.0003609747734751423
SUBDIVISION_Andaman & Nicobar Islands,0.00022040274922119436
